TID,name
12,laundry needs 
12,beverages hot 
12,deodorants soap
12,lotions creams
12,cough cold pain
12,cheese
12,margarine
12,beef
12,pet food 
12,fruit
12,vegetables
13,grocery misc 
13,baby needs 
13,bread and cake 
13,baking needs 
13,juice sat cord ms
13,biscuits
13,breakfast food 
13,cigs tobacco pkts 
13,coffee
13,sauces gravy pkle
13,frozen foods 
13,jams spreads
13,laundry needs 
13,party snack foods 
13,pkt canned soup 
13,margarine
13,dairy foods 
14,baking needs 
14,puddings deserts
14,jams spreads
14,party snack foods 
14,haircare
14,lotions creams
14,produce misc 
14,fruit
14,vegetables
14,prepared meals 
15,bread and cake 
15,juice sat cord ms
15,biscuits
15,breakfast food 
15,sauces gravy pkle
15,pet foods 
15,party snack foods 
15,cheese
15,milk cream
15,deli gourmet 
15,dairy foods 
15,fruit
15,vegetables
15,variety misc 
15,kitchen
15,stationary
15,imported cheese 
16,bread and cake 
16,baking needs 
16,juice sat cord ms
16,tea
16,biscuits
16,canned fruit 
16,canned vegetables 
16,breakfast food 
16,sauces gravy pkle
16,dishcloths scour
16,frozen foods 
16,fuels garden aids 
16,pet foods 
16,laundry needs 
16,party snack foods 
16,tissues paper prd 
16,wrapping
16,pkt canned soup 
16,soft drinks 
16,haircare
16,dental needs 
16,margarine
16,small goods 
16,poultry
16,fruit
16,vegetables
16,stationary
16,prepared meals 
16,bake off products 
16,small goods2 
17,juice sat cord ms
17,tea
17,biscuits
17,canned fruit 
17,deod disinfectant
17,frozen foods 
17,party snack foods 
17,cheese
17,cold meats
17,margarine
17,beef
17,variety misc 
17,stationary
18,bread and cake 
18,biscuits
18,fruit
18,vegetables
18,casks white wine 
18,sparkling nz 
19,grocery misc 
19,baby needs 
19,baking needs 
19,breakfast food 
19,cigs tobacco pkts 
19,cleaners polishers
19,coffee
19,sauces gravy pkle
19,laundry needs 
19,party snack foods 
19,wrapping
19,beverages hot 
19,milk cream
19,margarine
19,fruit
19,potatoes
19,vegetables
19,condiments
19,bake off products 
20,biscuits
20,canned fish meat 
20,sauces gravy pkle
20,confectionary
20,frozen foods 
20,party snack foods 
20,fruit
20,prepared meals 
20,cooking oils 
21,grocery misc 
21,bread and cake 
21,biscuits
21,cigs tobacco pkts 
21,sauces gravy pkle
21,frozen foods 
21,pet foods 
21,cheese
21,milk cream
21,deli gourmet 
21,margarine
21,small goods 
21,dairy foods 
21,beef
21,pork
21,produce misc 
21,fruit
21,vegetables
21,stationary
21,offal
22,bread and cake 
22,baking needs 
22,juice sat cord ms
22,tea
22,biscuits
22,canned vegetables 
22,breakfast food 
22,sauces gravy pkle
22,confectionary
22,puddings deserts
22,dishcloths scour
22,frozen foods 
22,jams spreads
22,pet foods 
22,laundry needs 
22,party snack foods 
22,tissues paper prd 
22,wrapping
22,deodorants soap
22,dental needs 
22,cheese
22,milk cream
22,cold meats
22,margarine
22,small goods 
22,dairy foods 
22,beef
22,lamb
22,pet food 
22,fruit
22,potatoes
22,vegetables
22,electrical
22,manchester
22,plasticware
22,stationary
22,prepared meals 
22,cooking oils 
22,bake off products 
22,small goods2 
23,baking needs 
23,biscuits
23,cleaners polishers
23,sauces gravy pkle
23,confectionary
23,frozen foods 
23,party snack foods 
23,tissues paper prd 
23,cheese
23,milk cream
23,margarine
23,pork
23,poultry
23,fruit
23,vegetables
23,small goods2 
24,bread and cake 
24,juice sat cord ms
24,biscuits
24,canned fish meat 
24,sauces gravy pkle
24,frozen foods 
24,laundry needs 
24,party snack foods 
24,soft drinks 
24,mens toiletries 
24,lotions creams
24,margarine
24,dairy foods 
24,fruit
24,vegetables
25,bread and cake 
25,baking needs 
25,tea
25,sauces gravy pkle
25,laundry needs 
25,tissues paper prd 
25,beverages hot 
25,milk cream
25,beef
25,lamb
25,fruit
25,small goods2 
26,bread and cake 
26,baking needs 
26,juice sat cord ms
26,biscuits
26,canned fruit 
26,canned vegetables 
26,breakfast food 
26,cleaners polishers
26,puddings deserts
26,dishcloths scour
26,frozen foods 
26,insecticides
26,pet foods 
26,laundry needs 
26,tissues paper prd 
26,milk cream
26,cold meats
26,dairy foods 
26,fruit
26,vegetables
26,brushware
26,electrical
27,bread and cake 
27,baking needs 
27,juice sat cord ms
27,canned vegetables 
27,breakfast food 
27,cigs tobacco pkts 
27,frozen foods 
27,tissues paper prd 
27,deodorants soap
27,cheese
27,milk cream
27,margarine
27,fruit
27,potatoes
27,vegetables
27,prepared meals 
27,small goods2 
28,bread and cake 
28,baking needs 
28,juice sat cord ms
28,biscuits
28,canned vegetables 
28,breakfast food 
28,sauces gravy pkle
28,confectionary
28,puddings deserts
28,dishcloths scour
28,deod disinfectant
28,frozen foods 
28,laundry needs 
28,party snack foods 
28,tissues paper prd 
28,wrapping
28,soft drinks 
28,beverages hot 
28,deodorants soap
28,mens toiletries 
28,haircare
28,dental needs 
28,cheese
28,small goods 
28,dairy foods 
28,pet food 
28,fruit
28,stationary
28,small goods2 
29,baking needs 
29,tea
29,confectionary
29,deod disinfectant
29,frozen foods 
29,fuels garden aids 
29,party snack foods 
29,cheese
29,dairy foods 
29,variety misc 
30,bread and cake 
30,baking needs 
30,juice sat cord ms
30,biscuits
30,canned vegetables 
30,coffee
30,confectionary
30,pet foods 
30,party snack foods 
30,tissues paper prd 
30,deodorants soap
30,dental needs 
30,milk cream
31,juice sat cord ms
31,tea
31,canned fish meat 
31,coffee
31,jams spreads
31,insecticides
31,pet foods 
31,laundry needs 
31,tissues paper prd 
31,pkt canned soup 
31,deodorants soap
31,haircare
31,dental needs 
31,fruit
31,cooking oils 
31,non host support 
32,bread and cake 
32,biscuits
32,canned fruit 
32,canned vegetables 
32,breakfast food 
32,frozen foods 
32,party snack foods 
32,wrapping
32,lotions creams
32,cheese
32,fruit
32,kitchen
32,bake off products 
33,bread and cake 
33,biscuits
33,canned fruit 
33,canned vegetables 
33,cleaners polishers
33,frozen foods 
33,party snack foods 
33,soft drinks 
33,margarine
33,beef
33,fruit
33,vegetables
33,haberdashery
33,kitchen
33,prepared meals 
33,port and sherry 
34,baby needs 
34,bread and cake 
34,baking needs 
34,juice sat cord ms
34,tea
34,biscuits
34,breakfast food 
34,cleaners polishers
34,coffee
34,confectionary
34,frozen foods 
34,jams spreads
34,pet foods 
34,party snack foods 
34,tissues paper prd 
34,soft drinks 
34,haircare
34,cheese
34,margarine
34,beef
34,lamb
34,pork
34,fruit
34,vegetables
34,plasticware
34,small goods2 
35,bread and cake 
35,biscuits
35,jams spreads
35,party snack foods 
35,haircare
35,milk cream
35,delicatessen misc 
35,fruit
35,vegetables
35,small goods2 
36,baby needs 
36,bread and cake 
36,baking needs 
36,canned fruit 
36,breakfast food 
36,cleaners polishers
36,spices
36,jams spreads
36,haircare
36,cheese
36,milk cream
36,margarine
36,fruit
36,stationary
37,bread and cake 
37,baking needs 
37,tea
37,biscuits
37,canned fish meat 
37,canned vegetables 
37,cleaners polishers
37,coffee
37,sauces gravy pkle
37,confectionary
37,frozen foods 
37,spices
37,jams spreads
37,insecticides
37,pet foods 
37,laundry needs 
37,party snack foods 
37,soft drinks 
37,beverages hot 
37,deodorants soap
37,haircare
37,sanitary pads 
37,cheese
37,milk cream
37,deli gourmet 
37,margarine
37,dairy foods 
37,beef
37,poultry
37,fruit
37,vegetables
37,brushware
37,stationary
37,prepared meals 
38,bread and cake 
38,canned fish meat 
38,canned vegetables 
38,cigs tobacco pkts 
38,coffee
38,sauces gravy pkle
38,deod disinfectant
38,frozen foods 
38,spices
38,laundry needs 
38,tissues paper prd 
38,deodorants soap
38,cheese
38,margarine
38,fruit
38,vegetables
38,prepared meals 
38,condiments
39,juice sat cord ms
39,biscuits
39,breakfast food 
39,coffee
39,sauces gravy pkle
39,confectionary
39,puddings deserts
39,frozen foods 
39,pet foods 
39,party snack foods 
39,wrapping
39,soft drinks 
39,health beauty misc 
39,deodorants soap
39,mens toiletries 
39,haircare
39,dental needs 
39,cough cold pain
39,milk cream
39,margarine
39,dairy foods 
39,fruit
39,vegetables
39,stationary
40,baby needs 
40,bread and cake 
40,baking needs 
40,juice sat cord ms
40,tea
40,biscuits
40,canned fish meat 
40,canned fruit 
40,breakfast food 
40,cleaners polishers
40,coffee
40,sauces gravy pkle
40,confectionary
40,jams spreads
40,pet foods 
40,laundry needs 
40,tissues paper prd 
40,wrapping
40,soft drinks 
40,deodorants soap
40,haircare
40,dental needs 
40,cheese
40,milk cream
40,margarine
40,dairy foods 
40,pet food 
40,fruit
40,vegetables
40,kitchen
40,stationary
40,cooking oils 
40,bake off products 
41,bread and cake 
41,cigs tobacco pkts 
41,frozen foods 
41,wrapping
41,dental needs 
41,milk cream
41,variety misc 
41,prepared meals 
42,baby needs 
42,bread and cake 
42,baking needs 
42,juice sat cord ms
42,tea
42,biscuits
42,canned fruit 
42,canned vegetables 
42,breakfast food 
42,sauces gravy pkle
42,confectionary
42,deod disinfectant
42,frozen foods 
42,fuels garden aids 
42,jams spreads
42,pet foods 
42,laundry needs 
42,party snack foods 
42,tissues paper prd 
42,deodorants soap
42,haircare
42,dental needs 
42,sanitary pads 
42,cheese
42,margarine
42,dairy foods 
42,beef
42,fruit
42,vegetables
42,electrical
42,plasticware
42,stationary
42,prepared meals 
43,baking needs 
43,biscuits
43,canned vegetables 
43,coffee
43,confectionary
43,deod disinfectant
43,jams spreads
43,pet foods 
43,laundry needs 
43,tissues paper prd 
43,wrapping
43,deodorants soap
43,haircare
43,dental needs 
43,lotions creams
43,milk cream
43,margarine
43,small goods 
43,beef
43,lamb
43,pet food 
43,fruit
43,vegetables
43,electrical
44,bread and cake 
44,baking needs 
44,juice sat cord ms
44,sauces gravy pkle
44,spices
44,jams spreads
44,soft drinks 
44,haircare
44,cheese
44,margarine
44,small goods 
44,produce misc 
44,vegetables
44,electrical
44,prepared meals 
44,condiments
44,small goods2 
45,baking needs 
45,biscuits
45,confectionary
45,party snack foods 
45,tissues paper prd 
45,soft drinks 
45,potatoes
45,kitchen
45,stationary
46,bread and cake 
46,milk cream
46,variety misc 
46,kitchen
47,bread and cake 
47,baking needs 
47,juice sat cord ms
47,biscuits
47,breakfast food 
47,confectionary
47,frozen foods 
47,fuels garden aids 
47,spices
47,party snack foods 
47,wrapping
47,dried vegetables 
47,medicines
47,lotions creams
47,cough cold pain
47,cheese
47,milk cream
47,fruit
48,baking needs 
48,biscuits
48,sauces gravy pkle
48,tissues paper prd 
48,cheese
48,milk cream
48,margarine
48,dairy foods 
48,poultry
48,fruit
48,electrical
48,stationary
48,condiments
48,port and sherry 
49,baking needs 
49,juice sat cord ms
49,breakfast food 
49,spices
49,wrapping
49,sanitary pads 
49,cheese
49,fruit
49,variety misc 
49,kitchen
49,cooking oils 
50,baby needs 
50,juice sat cord ms
50,tea
50,biscuits
50,canned fish meat 
50,canned fruit 
50,canned vegetables 
50,breakfast food 
50,sauces gravy pkle
50,confectionary
50,frozen foods 
50,razor blades 
50,jams spreads
50,pet foods 
50,laundry needs 
50,party snack foods 
50,tissues paper prd 
50,mens toiletries 
50,cheese
50,margarine
50,dairy foods 
50,beef
50,pork
50,potatoes
51,grocery misc 
51,cigs tobacco pkts 
51,party snack foods 
51,pork
51,poultry
51,stationary
52,baking needs 
52,tea
52,biscuits
52,canned fruit 
52,canned vegetables 
52,breakfast food 
52,cleaners polishers
52,sauces gravy pkle
52,confectionary
52,dishcloths scour
52,frozen foods 
52,jams spreads
52,laundry needs 
52,tissues paper prd 
52,health food other 
52,deodorants soap
52,dental needs 
52,cough cold pain
52,cheese
52,pet food 
52,potatoes
52,vegetables
53,bread and cake 
53,baking needs 
53,juice sat cord ms
53,tea
53,biscuits
53,canned fish meat 
53,coffee
53,sauces gravy pkle
53,puddings deserts
53,frozen foods 
53,laundry needs 
53,party snack foods 
53,tissues paper prd 
53,cheese
53,milk cream
53,dairy foods 
53,fruit
53,haberdashery
53,stationary
54,bread and cake 
54,biscuits
54,cigs tobacco pkts 
54,insecticides
54,laundry needs 
54,party snack foods 
54,tissues paper prd 
54,pet food 
54,fruit
54,vegetables
54,bake off products 
55,baby needs 
55,bread and cake 
55,baking needs 
55,juice sat cord ms
55,canned fish meat 
55,canned vegetables 
55,coffee
55,pet foods 
55,laundry needs 
55,party snack foods 
55,milk cream
55,margarine
55,small goods 
55,lamb
55,poultry
55,fruit
55,vegetables
55,plasticware
55,stationary
55,cooking oils 
56,bread and cake 
56,baking needs 
56,juice sat cord ms
56,biscuits
56,canned fish meat 
56,canned vegetables 
56,puddings deserts
56,wrapping
56,haircare
56,cheese
56,milk cream
56,beef
56,potatoes
56,vegetables
56,cooking oils 
57,baby needs 
57,bread and cake 
57,baking needs 
57,juice sat cord ms
57,canned fruit 
57,breakfast food 
57,cleaners polishers
57,puddings deserts
57,frozen foods 
57,jams spreads
57,laundry needs 
57,party snack foods 
57,tissues paper prd 
57,wrapping
57,deodorants soap
57,dental needs 
57,sanitary pads 
57,cheese
57,milk cream
57,cold meats
57,margarine
57,dairy foods 
57,beef
57,lamb
57,fruit
57,potatoes
57,vegetables
57,small goods2 
57,trim pork 
58,bread and cake 
58,cleaners polishers
58,sauces gravy pkle
58,frozen foods 
58,spices
58,tissues paper prd 
58,pkt canned soup 
58,health food other 
58,beverages hot 
58,milk cream
58,margarine
58,dairy foods 
59,bread and cake 
59,baking needs 
59,tea
59,biscuits
59,canned fruit 
59,cigarette cartons 
59,cleaners polishers
59,frozen foods 
59,fuels garden aids 
59,jams spreads
59,tissues paper prd 
59,fruit
59,vegetables
60,grocery misc 
60,baby needs 
60,bread and cake 
60,baking needs 
60,biscuits
60,canned vegetables 
60,cigs tobacco pkts 
60,party snack foods 
60,soft drinks 
60,deodorants soap
60,cheese
60,beef
60,fruit
60,prepared meals 
61,bread and cake 
61,biscuits
61,breakfast food 
61,cleaners polishers
61,deod disinfectant
61,pet foods 
61,tissues paper prd 
61,deodorants soap
61,haircare
61,milk cream
61,poultry
61,vegetables
62,baking needs 
62,biscuits
62,canned fish meat 
62,canned vegetables 
62,frozen foods 
62,spices
62,jams spreads
62,tissues paper prd 
62,pkt canned soup 
62,cheese
62,margarine
62,small goods 
62,beef
62,fruit
62,vegetables
62,variety misc 
62,imported cheese 
63,juice sat cord ms
63,breakfast food 
63,cleaners polishers
63,confectionary
63,frozen foods 
63,laundry needs 
63,party snack foods 
63,tissues paper prd 
63,medicines
63,dental needs 
63,cheese
63,dairy foods 
63,beef
63,lamb
63,produce misc 
63,fruit
63,vegetables
64,bread and cake 
64,baking needs 
64,canned fish meat 
64,canned fruit 
64,breakfast food 
64,sauces gravy pkle
64,deod disinfectant
64,frozen foods 
64,pet foods 
64,laundry needs 
64,tissues paper prd 
64,wrapping
64,beverages hot 
64,meat misc 
64,cheese
64,margarine
64,fruit
64,vegetables
64,stationary
64,bake off products 
65,grocery misc 
65,bread and cake 
65,baking needs 
65,tea
65,biscuits
65,cigs tobacco pkts 
65,coffee
65,confectionary
65,frozen foods 
65,jams spreads
65,pet foods 
65,wrapping
65,soft drinks 
65,beverages hot 
65,milk cream
65,margarine
65,small goods 
65,fruit
65,plants
65,stationary
65,bake off products 
66,bread and cake 
66,baking needs 
66,juice sat cord ms
66,canned fruit 
66,canned vegetables 
66,breakfast food 
66,coffee
66,sauces gravy pkle
66,dishcloths scour
66,frozen foods 
66,spices
66,laundry needs 
66,health food other 
66,beverages hot 
66,haircare
66,cheese
66,milk cream
66,margarine
66,fruit
66,vegetables
66,prepared meals 
66,bake off products 
67,baby needs 
67,bread and cake 
67,baking needs 
67,juice sat cord ms
67,biscuits
67,breakfast food 
67,coffee
67,sauces gravy pkle
67,confectionary
67,puddings deserts
67,frozen foods 
67,jams spreads
67,laundry needs 
67,party snack foods 
67,deodorants soap
67,lotions creams
67,cheese
67,milk cream
67,margarine
67,small goods 
67,dairy foods 
67,poultry
67,fruit
67,vegetables
67,variety misc 
67,kitchen
67,stationary
67,prepared meals 
67,cooking oils 
67,bake off products 
67,small goods2 
67,casks white wine 
68,baby needs 
68,bread and cake 
68,baking needs 
68,juice sat cord ms
68,biscuits
68,canned fish meat 
68,canned vegetables 
68,frozen foods 
68,party snack foods 
68,deodorants soap
68,cheese
68,margarine
68,dairy foods 
68,fruit
68,vegetables
68,brushware
68,haberdashery
68,kitchen
68,prepared meals 
68,condiments
68,cooking oils 
69,bread and cake 
69,baking needs 
69,juice sat cord ms
69,tea
69,biscuits
69,canned fish meat 
69,canned fruit 
69,breakfast food 
69,cleaners polishers
69,coffee
69,sauces gravy pkle
69,confectionary
69,pet foods 
69,laundry needs 
69,party snack foods 
69,tissues paper prd 
69,wrapping
69,soft drinks 
69,beverages hot 
69,deodorants soap
69,haircare
69,sanitary pads 
69,milk cream
69,beef
69,stationary
69,small goods2 
70,bread and cake 
70,baking needs 
70,juice sat cord ms
70,biscuits
70,breakfast food 
70,sauces gravy pkle
70,frozen foods 
70,fuels garden aids 
70,pet foods 
70,laundry needs 
70,party snack foods 
70,tissues paper prd 
70,wrapping
70,soft drinks 
70,cheese
70,milk cream
70,small goods 
70,fruit
70,vegetables
70,variety misc 
71,bread and cake 
71,baking needs 
71,tea
71,biscuits
71,pet foods 
71,tissues paper prd 
71,pkt canned soup 
71,deodorants soap
71,dental needs 
71,cheese
71,milk cream
71,margarine
71,small goods 
71,dairy foods 
71,beef
71,lamb
71,pet food 
71,pork
71,fruit
71,potatoes
71,vegetables
71,stationary
72,bread and cake 
72,baking needs 
72,biscuits
72,cleaners polishers
72,coffee
72,laundry needs 
72,party snack foods 
72,soft drinks 
72,sanitary pads 
72,milk cream
72,margarine
72,dairy foods 
72,fruit
72,potatoes
72,vegetables
72,stationary
72,small goods2 
73,bread and cake 
73,juice sat cord ms
73,biscuits
73,canned vegetables 
73,breakfast food 
73,sauces gravy pkle
73,confectionary
73,frozen foods 
73,jams spreads
73,party snack foods 
73,wrapping
73,cheese
73,milk cream
73,dairy foods 
73,beef
73,lamb
73,poultry
73,fruit
73,potatoes
73,vegetables
73,prepared meals 
73,condiments
73,imported cheese 
74,bread and cake 
74,baking needs 
74,biscuits
74,canned fish meat 
74,canned fruit 
74,canned vegetables 
74,coffee
74,sauces gravy pkle
74,confectionary
74,frozen foods 
74,pet foods 
74,laundry needs 
74,party snack foods 
74,wrapping
74,soft drinks 
74,cheese
74,milk cream
74,margarine
74,fruit
74,vegetables
74,brushware
74,stationary
75,bread and cake 
75,baking needs 
75,juice sat cord ms
75,biscuits
75,canned vegetables 
75,breakfast food 
75,cleaners polishers
75,sauces gravy pkle
75,confectionary
75,puddings deserts
75,dishcloths scour
75,frozen foods 
75,fuels garden aids 
75,spices
75,jams spreads
75,laundry needs 
75,party snack foods 
75,tissues paper prd 
75,pkt canned soup 
75,soft drinks 
75,deodorants soap
75,mens toiletries 
75,haircare
75,lotions creams
75,cheese
75,milk cream
75,margarine
75,small goods 
75,pork
75,prepared meals 
75,preserving needs 
75,cooking oils 
75,trim pork 
76,bread and cake 
76,biscuits
76,canned fish meat 
76,canned vegetables 
76,cleaners polishers
76,sauces gravy pkle
76,deod disinfectant
76,fuels garden aids 
76,party snack foods 
76,tissues paper prd 
76,beverages hot 
76,haircare
76,lotions creams
76,lamb
76,brushware
76,small goods2 
77,juice sat cord ms
77,cigs tobacco pkts 
77,soft drinks 
77,fruit
77,vegetables
77,750ml white imp 
78,juice sat cord ms
78,canned fish meat 
78,canned vegetables 
78,cleaners polishers
78,coffee
78,sauces gravy pkle
78,laundry needs 
78,party snack foods 
78,tissues paper prd 
78,pkt canned soup 
78,soft drinks 
78,deodorants soap
78,dental needs 
78,cheese
78,margarine
78,pet food 
78,potatoes
78,vegetables
78,condiments
78,cooking oils 
78,small goods2 
78,casks white wine 
78,750ml white nz 
79,bread and cake 
79,baking needs 
79,juice sat cord ms
79,biscuits
79,canned vegetables 
79,breakfast food 
79,cleaners polishers
79,coffee
79,sauces gravy pkle
79,confectionary
79,frozen foods 
79,laundry needs 
79,tissues paper prd 
79,soft drinks 
79,deodorants soap
79,dental needs 
79,sanitary pads 
79,cough cold pain
79,dairy foods 
79,fruit
79,vegetables
79,stationary
79,prepared meals 
79,bake off products 
80,bread and cake 
80,biscuits
80,canned vegetables 
80,breakfast food 
80,jams spreads
80,insecticides
80,deodorants soap
80,milk cream
80,beef
80,poultry
80,fruit
80,vegetables
80,stationary
81,baking needs 
81,breakfast food 
81,frozen foods 
81,pet foods 
81,party snack foods 
81,tissues paper prd 
81,wrapping
81,deodorants soap
81,mens toiletries 
81,milk cream
81,pet food 
81,fruit
81,potatoes
81,vegetables
81,stationary
82,grocery misc 
82,cigs tobacco pkts 
83,bread and cake 
83,baking needs 
83,biscuits
83,canned fruit 
83,coffee
83,sauces gravy pkle
83,confectionary
83,puddings deserts
83,deod disinfectant
83,frozen foods 
83,pet foods 
83,tissues paper prd 
83,wrapping
83,haircare
83,milk cream
83,fruit
83,vegetables
83,kitchen
83,condiments
85,baby needs 
85,bread and cake 
85,baking needs 
85,juice sat cord ms
85,biscuits
85,canned vegetables 
85,cigs tobacco pkts 
85,coffee
85,sauces gravy pkle
85,confectionary
85,puddings deserts
85,frozen foods 
85,jams spreads
85,laundry needs 
85,party snack foods 
85,tissues paper prd 
85,soft drinks 
85,medicines
85,sanitary pads 
85,cough cold pain
85,cheese
85,margarine
85,fruit
85,kitchen
85,prepared meals 
85,preserving needs 
85,cooking oils 
86,bread and cake 
86,juice sat cord ms
86,confectionary
86,puddings deserts
86,frozen foods 
86,jams spreads
86,party snack foods 
86,tissues paper prd 
86,soft drinks 
86,milk cream
86,fruit
86,vegetables
86,stationary
87,bread and cake 
87,juice sat cord ms
87,biscuits
87,canned fish meat 
87,canned fruit 
87,canned vegetables 
87,breakfast food 
87,sauces gravy pkle
87,puddings deserts
87,frozen foods 
87,pet foods 
87,dairy foods 
87,beef
87,fruit
87,vegetables
87,kitchen
87,prepared meals 
87,small goods2 
88,baby needs 
88,baking needs 
88,juice sat cord ms
88,biscuits
88,canned fish meat 
88,canned fruit 
88,canned vegetables 
88,breakfast food 
88,cleaners polishers
88,sauces gravy pkle
88,confectionary
88,puddings deserts
88,frozen foods 
88,jams spreads
88,insecticides
88,laundry needs 
88,party snack foods 
88,tissues paper prd 
88,wrapping
88,soft drinks 
88,beverages hot 
88,deodorants soap
88,haircare
88,cheese
88,margarine
88,vegetables
88,brushware
88,prepared meals 
89,bread and cake 
89,baking needs 
89,tea
89,biscuits
89,canned fish meat 
89,canned fruit 
89,sauces gravy pkle
89,frozen foods 
89,milk cream
89,manchester
89,prepared meals 
90,juice sat cord ms
90,tea
90,biscuits
90,canned fruit 
90,canned vegetables 
90,frozen foods 
90,party snack foods 
90,fruit
90,bake off products 
91,bread and cake 
91,baking needs 
91,juice sat cord ms
91,biscuits
91,canned fruit 
91,canned vegetables 
91,breakfast food 
91,cleaners polishers
91,coffee
91,sauces gravy pkle
91,puddings deserts
91,dishcloths scour
91,frozen foods 
91,pet foods 
91,laundry needs 
91,tissues paper prd 
91,wrapping
91,deodorants soap
91,haircare
91,milk cream
91,cold meats
91,margarine
91,small goods 
91,beef
91,pet food 
91,poultry
91,fruit
91,vegetables
91,prepared meals 
91,small goods2 
92,bread and cake 
92,baking needs 
92,canned fish meat 
92,cigs tobacco pkts 
92,cleaners polishers
92,coffee
92,deod disinfectant
92,frozen foods 
92,insecticides
92,soft drinks 
92,margarine
92,poultry
92,potatoes
92,vegetables
92,variety misc 
92,stationary
92,cooking oils 
93,grocery misc 
93,bread and cake 
93,baking needs 
93,juice sat cord ms
93,biscuits
93,canned fish meat 
93,breakfast food 
93,cigs tobacco pkts 
93,coffee
93,sauces gravy pkle
93,confectionary
93,frozen foods 
93,razor blades 
93,jams spreads
93,insecticides
93,pet foods 
93,laundry needs 
93,party snack foods 
93,tissues paper prd 
93,wrapping
93,soft drinks 
93,beverages hot 
93,deodorants soap
93,haircare
93,sanitary pads 
93,cheese
93,milk cream
93,margarine
93,dairy foods 
93,beef
93,lamb
93,pork
93,poultry
93,fruit
93,vegetables
93,electrical
93,stationary
93,cooking oils 
94,baby needs 
94,bread and cake 
94,baking needs 
94,juice sat cord ms
94,biscuits
94,breakfast food 
94,coffee
94,sauces gravy pkle
94,spices
94,insecticides
94,pet foods 
94,beverages hot 
94,haircare
94,meat misc 
94,milk cream
94,margarine
94,fruit
94,potatoes
94,vegetables
94,prepared meals 
94,bake off products 
95,bread and cake 
95,canned fish meat 
95,breakfast food 
95,confectionary
95,spices
95,pet foods 
95,wrapping
